Date,Open,High,Low,Close,Signal,Entry,StopLoss,TakeProfit,RiskReward
2022-01-29,37741.9,38748.43,37300.0,38191.1,NONE,,,,
2022-01-30,38189.82,38384.07,37365.31,37901.35,NONE,,,,
2022-01-31,37904.99,38785.04,36640.94,38491.93,NONE,,,,
2022-02-01,38492.53,39300.0,38021.53,38716.88,NONE,,,,
2022-02-02,38714.27,38888.88,36584.29,36923.39,NONE,,,,
2022-02-03,36923.39,37450.75,36259.01,37329.91,SELL,37736.14,39319.65,32985.60999999999,3.0
2022-02-04,37324.61,41788.81,37051.36,41614.64,NONE,,,,
2022-02-05,41613.75,41970.0,40955.4,41404.85,NONE,,,,
2022-02-06,41411.59,42719.93,41135.39,42415.16,NONE,,,,
2022-02-07,42416.06,44533.0,41678.79,43868.07,NONE,,,,
2022-02-08,43868.08,45519.24,42688.0,44085.59,NONE,,,,
2022-02-09,44087.58,44865.46,43155.5,44416.35,NONE,,,,
2022-02-10,44416.39,45855.0,43210.0,43527.71,NONE,,,,
2022-02-11,43521.88,43962.13,42000.0,42386.47,NONE,,,,
2022-02-12,42386.47,43050.0,41750.0,42244.97,NONE,,,,
2022-02-13,42244.91,42781.96,41885.61,42074.99,NONE,,,,
2022-02-14,42073.37,42876.15,41570.0,42548.71,NONE,,,,
2022-02-15,42548.71,44775.96,42433.28,44583.52,NONE,,,,
2022-02-16,44580.73,44585.69,43330.59,43895.56,NONE,,,,
2022-02-17,43895.55,44195.62,40099.99,40536.73,NONE,,,,
2022-02-18,40537.94,40990.9,39425.07,39983.56,NONE,,,,
2022-02-19,39993.64,40469.82,39655.0,40101.94,NONE,,,,
2022-02-20,40101.93,40146.07,38000.0,38389.03,NONE,,,,
2022-02-21,38395.99,39506.91,36811.0,37023.0,NONE,,,,
2022-02-22,37022.11,38469.06,36350.0,38251.48,NONE,,,,
2022-02-23,38251.67,39276.85,37055.0,37268.19,NONE,,,,
2022-02-24,37268.18,39720.0,34322.0,38347.3,NONE,,,,
2022-02-25,38347.3,39716.0,38016.44,39238.48,NONE,,,,
2022-02-26,39242.71,40300.5,38592.04,39137.8,NONE,,,,
2022-02-27,39146.97,39875.71,37020.0,37717.08,NONE,,,,
2022-02-28,37716.57,44240.77,37455.71,43192.66,NONE,,,,
2022-03-01,43189.61,44993.12,42850.0,44439.95,NONE,,,,
2022-03-02,44440.0,45426.45,43342.16,43912.34,NONE,,,,
2022-03-03,43916.47,44096.45,41811.0,42464.41,NONE,,,,
2022-03-04,42464.41,42524.87,38577.01,39166.51,NONE,,,,
2022-03-05,39166.5,39600.0,38587.27,39402.43,NONE,,,,
2022-03-06,39407.87,39730.5,38091.02,38408.38,NONE,,,,
2022-03-07,38406.82,39556.58,37161.88,37994.0,NONE,,,,
2022-03-08,37991.05,39376.65,37851.54,38749.38,NONE,,,,
2022-03-09,38749.16,42597.84,38655.98,41953.97,NONE,,,,
2022-03-10,41949.28,42053.84,38560.85,39433.71,NONE,,,,
2022-03-11,39431.4,40251.51,38234.08,38732.04,NONE,,,,
2022-03-12,38732.33,39472.17,38654.02,38813.02,NONE,,,,
2022-03-13,38815.56,39318.19,37580.86,37793.01,NONE,,,,
2022-03-14,37793.4,39906.39,37560.4,39674.17,NONE,,,,
2022-03-15,39678.51,39900.0,38135.0,39298.1,NONE,,,,
2022-03-16,39298.11,41717.67,38850.0,41127.97,NONE,,,,
2022-03-17,41127.96,41486.0,40521.0,40950.33,NONE,,,,
2022-03-18,40950.23,42396.04,40130.0,41774.98,NONE,,,,
2022-03-19,41781.37,42429.0,41534.89,42232.26,NONE,,,,
2022-03-20,42232.05,42330.1,40918.72,41287.24,NONE,,,,
2022-03-21,41287.24,41578.33,40509.0,41017.71,NONE,,,,
2022-03-22,41017.7,43389.79,40885.19,42378.26,NONE,,,,
2022-03-23,42376.03,43036.95,41766.79,42899.71,NONE,,,,
2022-03-24,42899.71,44241.0,42627.48,44012.29,NONE,,,,
2022-03-25,44012.36,45130.91,43605.8,44331.85,NONE,,,,
2022-03-26,44336.19,44820.58,44091.09,44539.42,NONE,,,,
2022-03-27,44538.21,46950.0,44437.22,46850.01,NONE,,,,
2022-03-28,46850.01,48240.0,46662.28,47144.92,NONE,,,,
2022-03-29,47146.92,48124.94,46589.0,47454.19,NONE,,,,
2022-03-30,47448.41,47717.01,46544.89,47078.03,NONE,,,,
