timestamp,open,high,low,close,volume
2024-08-21 00:00:00+00:00,559.77,562.11,554.73,560.62,41514600.0
2024-08-22 00:00:00+00:00,562.56,563.18,554.98,556.22,56121500.0
2024-08-23 00:00:00+00:00,559.53,563.09,557.29,562.13,50639400.0
2024-08-26 00:00:00+00:00,563.18,563.91,559.05,560.79,35788600.0
2024-08-27 00:00:00+00:00,559.49,562.06,558.32,561.56,32693900.0
2024-08-28 00:00:00+00:00,561.21,561.65,555.04,558.3,41066000.0
2024-08-29 00:00:00+00:00,560.31,563.68,557.18,558.35,38715200.0
2024-08-30 00:00:00+00:00,560.77,564.2,557.14,563.68,62700100.0
2024-09-03 00:00:00+00:00,560.47,560.81,549.51,552.08,60600100.0
2024-09-04 00:00:00+00:00,550.2,554.43,549.46,550.95,47224900.0
2024-09-05 00:00:00+00:00,550.89,553.8,547.1,549.61,44264300.0
2024-09-06 00:00:00+00:00,549.94,551.6,539.44,540.36,68493800.0
2024-09-09 00:00:00+00:00,544.65,547.71,542.68,546.41,40445800.0
2024-09-10 00:00:00+00:00,548.36,549.15,543.38,548.79,36394600.0
2024-09-11 00:00:00+00:00,548.7,555.36,539.96,554.42,75248600.0
2024-09-12 00:00:00+00:00,555.01,559.4,552.74,559.09,51819600.0
2024-09-13 00:00:00+00:00,559.71,563.03,559.45,562.01,39310500.0
2024-09-16 00:00:00+00:00,561.74,563.11,559.9,562.84,36656100.0
2024-09-17 00:00:00+00:00,565.1,566.58,560.79,563.07,49321000.0
2024-09-18 00:00:00+00:00,563.74,568.69,560.83,561.4,59044900.0
2024-09-19 00:00:00+00:00,571.01,572.88,568.08,570.98,75315500.0
2024-09-20 00:00:00+00:00,567.84,569.31,565.17,568.25,77503100.0
2024-09-23 00:00:00+00:00,569.34,570.33,568.1,569.67,44116900.0
2024-09-24 00:00:00+00:00,570.48,571.36,567.6,571.3,46805700.0
2024-09-25 00:00:00+00:00,571.14,571.89,568.91,570.04,38428600.0
2024-09-26 00:00:00+00:00,574.38,574.71,569.9,572.3,48336000.0
2024-09-27 00:00:00+00:00,573.39,574.22,570.42,571.47,42100900.0
2024-09-30 00:00:00+00:00,570.42,574.38,568.08,573.76,63557400.0
2024-10-01 00:00:00+00:00,573.4,574.06,566.0,568.62,72668800.0
2024-10-02 00:00:00+00:00,567.71,569.9,565.27,568.86,38097800.0
2024-10-03 00:00:00+00:00,567.36,569.8,565.49,567.82,40846500.0
2024-10-04 00:00:00+00:00,572.35,573.36,568.1,572.98,42939100.0
2024-10-07 00:00:00+00:00,571.3,571.96,566.63,567.8,49964700.0
2024-10-08 00:00:00+00:00,570.42,573.78,569.53,573.17,37398700.0
2024-10-09 00:00:00+00:00,573.16,577.71,572.55,577.14,37912200.0
2024-10-10 00:00:00+00:00,575.77,577.58,574.49,576.13,44138100.0
2024-10-11 00:00:00+00:00,576.05,580.33,575.91,579.58,42268000.0
2024-10-14 00:00:00+00:00,581.22,585.27,580.73,584.32,36217200.0
2024-10-15 00:00:00+00:00,584.59,584.9,578.54,579.78,54203600.0
2024-10-16 00:00:00+00:00,579.78,582.83,578.96,582.3,30725400.0
2024-10-17 00:00:00+00:00,585.91,586.12,582.16,582.35,34393700.0
2024-10-18 00:00:00+00:00,584.07,585.39,582.58,584.59,37416800.0
2024-10-21 00:00:00+00:00,583.85,584.85,580.6,583.63,36439000.0
2024-10-22 00:00:00+00:00,581.05,584.5,580.38,583.32,34183800.0
2024-10-23 00:00:00+00:00,581.26,581.71,574.42,577.99,49314600.0
2024-10-24 00:00:00+00:00,579.98,580.06,576.57,579.24,34979900.0
2024-10-25 00:00:00+00:00,581.51,584.46,578.08,579.04,47268200.0
2024-10-28 00:00:00+00:00,582.58,582.71,580.52,580.83,30174700.0
2024-10-29 00:00:00+00:00,579.85,582.91,578.43,581.77,42899700.0
2024-10-30 00:00:00+00:00,581.29,583.32,579.29,580.01,41435800.0
2024-10-31 00:00:00+00:00,575.56,575.63,568.44,568.64,60182500.0
2024-11-01 00:00:00+00:00,571.32,575.55,570.62,571.04,45667500.0
2024-11-04 00:00:00+00:00,571.18,572.5,567.89,569.81,38217000.0
2024-11-05 00:00:00+00:00,570.74,576.74,570.52,576.7,39478300.0
2024-11-06 00:00:00+00:00,589.2,591.93,585.39,591.04,68182000.0
2024-11-07 00:00:00+00:00,593.08,596.65,593.0,595.61,47233200.0
2024-11-08 00:00:00+00:00,596.17,599.64,596.17,598.19,46444900.0
2024-11-11 00:00:00+00:00,599.81,600.17,597.0,598.76,37586800.0
2024-11-12 00:00:00+00:00,598.68,599.29,594.37,596.9,43006100.0
2024-11-13 00:00:00+00:00,597.37,599.23,594.96,597.19,47388600.0
2024-11-14 00:00:00+00:00,597.32,597.81,592.65,593.35,38904100.0
2024-11-15 00:00:00+00:00,589.72,590.2,583.86,585.75,75988800.0
2024-11-18 00:00:00+00:00,586.22,589.49,585.34,588.15,37001700.0
2024-11-19 00:00:00+00:00,584.71,591.04,584.03,590.3,49412000.0
2024-11-20 00:00:00+00:00,590.38,590.79,584.63,590.5,50032600.0
2024-11-21 00:00:00+00:00,593.4,595.12,587.45,593.67,46750300.0
2024-11-22 00:00:00+00:00,593.66,596.15,593.15,595.51,38226400.0
2024-11-25 00:00:00+00:00,599.52,600.86,595.2,597.53,42441400.0
2024-11-26 00:00:00+00:00,598.8,601.33,598.07,600.65,45621300.0
2024-11-27 00:00:00+00:00,600.46,600.85,597.28,598.83,34000200.0
2024-11-29 00:00:00+00:00,599.66,603.35,599.38,602.55,30177400.0
2024-12-02 00:00:00+00:00,602.97,604.32,602.47,603.63,31746000.0
2024-12-03 00:00:00+00:00,603.39,604.16,602.34,603.91,26906600.0
2024-12-04 00:00:00+00:00,605.63,607.91,604.95,607.66,42787600.0
2024-12-05 00:00:00+00:00,607.66,608.48,606.3,606.66,28762200.0
2024-12-06 00:00:00+00:00,607.44,609.07,607.02,607.81,31241500.0
2024-12-09 00:00:00+00:00,607.69,607.86,604.08,604.68,34742700.0
2024-12-10 00:00:00+00:00,605.37,605.8,602.13,602.8,37234500.0
2024-12-11 00:00:00+00:00,605.78,608.43,605.5,607.46,28677700.0
2024-12-12 00:00:00+00:00,606.58,607.16,604.33,604.33,31543800.0
2024-12-13 00:00:00+00:00,606.4,607.13,602.81,604.21,35904700.0
2024-12-16 00:00:00+00:00,606.0,607.78,605.21,606.79,43695200.0
2024-12-17 00:00:00+00:00,604.19,605.17,602.89,604.29,55773500.0
2024-12-18 00:00:00+00:00,603.98,606.41,585.89,586.28,108248700.0
2024-12-19 00:00:00+00:00,591.36,593.0,585.85,586.1,85919500.0
2024-12-20 00:00:00+00:00,581.77,595.75,580.91,591.15,125716700.0
2024-12-23 00:00:00+00:00,590.89,595.3,587.66,594.69,57635800.0
2024-12-24 00:00:00+00:00,596.06,601.34,595.47,601.3,33160100.0
2024-12-26 00:00:00+00:00,599.5,602.48,598.08,601.34,41219100.0
2024-12-27 00:00:00+00:00,597.54,597.78,590.76,595.01,64969300.0
2024-12-30 00:00:00+00:00,587.89,591.74,584.41,588.22,56578800.0
2024-12-31 00:00:00+00:00,589.91,590.64,584.42,586.08,57052700.0
2025-01-02 00:00:00+00:00,589.39,591.13,580.5,584.64,50204000.0
2025-01-03 00:00:00+00:00,587.53,592.6,586.43,591.95,37888500.0
2025-01-06 00:00:00+00:00,596.27,599.7,593.6,595.36,47679400.0
2025-01-07 00:00:00+00:00,597.42,597.75,586.78,588.63,60393100.0
2025-01-08 00:00:00+00:00,588.7,590.58,585.2,589.49,47304700.0
2025-01-10 00:00:00+00:00,585.88,585.95,578.55,580.49,73105000.0
2025-01-13 00:00:00+00:00,575.77,581.75,575.35,581.39,47910100.0
2025-01-14 00:00:00+00:00,584.36,585.0,578.35,582.19,48420600.0
2025-01-15 00:00:00+00:00,590.33,593.94,589.2,592.78,56900200.0
2025-01-16 00:00:00+00:00,594.17,594.35,590.93,591.64,43319700.0
2025-01-17 00:00:00+00:00,596.96,599.36,595.61,597.58,58070600.0
2025-01-21 00:00:00+00:00,600.67,603.06,598.67,603.05,42532900.0
2025-01-22 00:00:00+00:00,605.92,607.82,605.36,606.44,48196000.0
2025-01-23 00:00:00+00:00,605.8,609.75,605.52,609.75,41152100.0
2025-01-24 00:00:00+00:00,609.81,610.78,606.8,607.97,34604700.0
2025-01-27 00:00:00+00:00,594.81,599.69,594.64,599.37,70361100.0
2025-01-28 00:00:00+00:00,600.62,605.37,597.25,604.52,44433300.0
2025-01-29 00:00:00+00:00,603.72,604.13,599.22,601.81,37177400.0
2025-01-30 00:00:00+00:00,603.96,606.6,600.72,605.04,39281300.0
2025-01-31 00:00:00+00:00,607.5,609.96,601.05,601.82,66566900.0
2025-02-03 00:00:00+00:00,592.67,600.29,590.49,597.77,65857200.0
2025-02-04 00:00:00+00:00,597.83,602.3,597.28,601.78,33457800.0
2025-02-05 00:00:00+00:00,600.64,604.37,598.58,604.22,30653100.0
2025-02-06 00:00:00+00:00,605.99,606.45,602.63,606.32,35771500.0
2025-02-07 00:00:00+00:00,606.89,608.13,600.05,600.77,50788500.0
2025-02-10 00:00:00+00:00,604.03,605.5,602.74,604.85,26048700.0
2025-02-11 00:00:00+00:00,602.55,605.86,602.43,605.31,30056700.0
2025-02-12 00:00:00+00:00,599.2,604.55,598.51,603.36,45076100.0
